maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
743,10,5,2,5,24000,0,75,1,1968,4,5,12,5,0,27980,1,0
608,13,5,5,5,67800,1,128,1,1995,4,7,7,1,3,20990,2,0
657,8,3,5,5,10,0,116,0,1332,21,7,8,1,5,35297,1,0
593,8,5,5,5,60500,1,120,1,1618,11,5,7,1,2,17480,6,0
314,2,4,5,5,15,1,62,1,1197,25,7,7,1,0,17490,0,-1
184,8,3,5,4,0,0,110,1,1332,20,7,1,1,0,32990,1,0
422,9,5,5,5,35000,1,165,0,1991,20,8,1,1,2,33490,4,0
95,12,5,5,4,62722,1,185,0,1998,10,6,10,1,3,34500,4,0
473,8,5,5,5,7048,1,300,0,1968,10,5,1,1,2,59885,2,0
413,12,5,5,4,21973,1,118,0,1332,10,7,1,1,0,27875,3,0
552,4,5,2,2,38787,1,420,0,6208,16,4,1,3,1,258197,12,0
659,8,5,5,5,124000,1,88,0,1197,11,4,2,1,0,11290,9,0
331,8,5,5,5,54100,1,132,0,1999,4,8,1,5,1,41990,3,0
430,13,5,5,5,35224,1,155,0,1991,10,7,1,1,2,37785,3,0
120,8,5,5,4,16085,0,215,0,1998,10,8,1,1,0,42900,3,0
752,12,5,5,5,2800,0,110,0,1498,20,8,13,1,2,34890,3,0
64,12,5,5,5,17452,1,110,1,1995,4,7,7,1,0,23990,3,0
538,3,5,2,2,141500,1,125,1,2748,20,5,10,1,1,90890,54,0
690,8,5,5,4,18500,0,110,0,1498,20,5,12,1,0,32980,1,0
99,12,5,5,4,49000,1,294,0,2993,4,5,12,3,1,59820,4,0
608,12,5,5,5,46300,1,147,0,1598,25,8,2,1,3,23990,4,-1
105,12,5,5,5,12611,1,290,0,2998,28,8,1,3,1,79990,2,-1
620,9,5,5,5,115300,0,118,0,3920,3,3,12,1,0,19950,12,0
225,12,1,5,5,37495,1,74,1,999,25,7,1,1,0,15990,2,-1
594,19,5,3,5,120400,0,107,1,2299,3,5,1,1,0,19850,6,0
236,13,1,5,5,60400,1,110,1,1995,4,8,2,1,0,22780,3,0
766,13,5,5,4,103000,1,147,0,1968,3,5,7,1,5,29990,2,0
27,13,5,5,5,98417,1,150,0,1968,4,8,1,1,1,31880,4,0
37,8,5,5,5,10942,0,250,0,2995,20,7,7,1,1,96990,1,0
702,13,5,5,5,134000,1,140,0,1968,3,5,12,1,0,22500,5,0
752,12,1,5,5,4350,1,110,0,1498,20,8,7,1,0,31450,1,0
227,18,5,5,5,77068,0,66,1,1388,16,5,12,1,0,10450,6,0
775,8,5,5,5,10,1,140,0,1984,20,7,10,1,4,41640,0,0
598,12,1,5,5,1566,0,133,0,1598,21,7,12,1,1,41850,1,0
770,12,3,5,4,10,1,70,0,999,25,7,1,1,0,23950,1,0
757,18,5,5,5,19087,1,85,0,999,20,8,7,1,0,20890,4,0
80,12,5,5,4,124679,1,135,0,1995,4,4,2,1,0,15690,11,0
656,10,4,3,5,10,0,100,1,2299,4,7,12,1,0,36950,0,0
731,8,5,5,5,25,1,72,0,1800,10,7,10,1,0,26890,1,-2
569,8,5,5,5,64000,1,110,0,1998,25,8,12,5,0,21490,4,0
120,8,5,5,4,73162,1,170,0,1995,3,6,1,1,1,38499,4,0
744,8,5,5,4,176500,0,150,0,2967,3,5,12,4,5,34990,6,-1
64,12,5,5,4,84616,1,110,0,1995,4,8,1,1,1,23780,4,0
491,8,5,5,5,33400,0,110,0,1950,3,5,7,1,2,42890,2,-1
706,8,5,5,5,32941,1,120,1,1497,21,8,1,1,0,14490,3,0
766,12,5,5,4,84000,1,140,0,1984,16,8,7,1,1,23980,4,0
122,8,3,5,5,1,1,265,0,2998,21,5,9,1,1,94990,1,0
617,18,5,5,5,69600,1,99,1,1598,4,5,10,1,1,15980,6,0
768,13,5,5,5,89999,0,110,0,1968,4,6,2,1,0,19888,5,0
794,8,1,5,5,12000,1,110,0,1498,20,7,1,1,0,28980,1,0
390,12,5,5,4,50537,1,77,0,1598,16,3,1,1,0,8350,15,0
300,8,5,5,4,187740,0,120,1,2143,3,4,10,1,1,6800,12,-1
235,2,5,5,2,111000,0,134,1,1596,16,5,9,1,0,12990,9,0
251,9,5,7,4,184050,1,125,1,1995,3,5,10,1,0,27358,4,0
432,3,5,4,2,87804,1,245,0,2996,16,8,7,1,1,39830,4,0
392,13,5,5,4,82150,0,132,1,2184,3,4,1,1,3,8950,12,0
27,13,5,5,5,172000,1,213,0,2995,25,4,1,5,0,9500,14,0
99,13,5,5,4,120397,1,294,0,2993,3,6,2,3,1,42999,4,0
465,13,5,5,5,84987,1,250,0,2925,4,5,1,1,1,46430,3,0
